#(d > 64 and ((b > d or d == b) or (c < b or d != 7)))
A,B,C,D,R
3,7,98,23,False
33,64,49,45,False
70,7,92,67,True
81,54,24,50,False
25,75,50,80,True
46,53,72,84,True
87,85,59,99,True
95,74,30,64,False
46,73,6,40,False
27,70,56,58,False
69,10,4,94,True
87,50,24,82,True
9,55,81,52,False
95,73,42,18,False
49,15,99,28,False
24,0,97,81,True
58,97,94,88,True
34,62,42,36,False
27,1,57,61,False
52,24,12,60,False
65,46,78,97,True
29,81,80,32,False
87,82,43,9,False
29,23,1,4,False
98,32,67,69,True
27,90,45,5,False
21,47,96,39,False
70,85,6,22,False
32,17,45,57,False
17,50,75,20,False
58,54,26,90,True
62,27,18,73,True
46,98,56,39,False
38,52,39,16,False
35,41,18,66,True
11,89,10,81,True
46,15,89,80,True
68,66,62,27,False
69,68,35,0,False
28,2,19,95,True
40,81,10,60,False
25,5,64,31,False
0,72,21,11,False
2,96,3,69,True
67,88,67,27,False
9,60,58,14,False
46,57,54,90,True
76,96,88,93,True
24,59,58,44,False
36,39,55,57,False
75,60,22,21,False
62,7,67,97,True
90,56,73,72,True
75,64,80,47,False
94,39,35,44,False
74,95,64,97,True
81,14,99,23,False
87,62,12,26,False
3,94,24,32,False
56,94,21,37,False
28,88,73,83,True
79,24,13,62,False
64,78,3,72,True
90,82,3,21,False
78,0,92,4,False
53,3,54,88,True
55,78,43,7,False
81,41,61,69,True
84,23,40,0,False
24,6,95,60,False
18,98,71,69,True
61,27,98,77,True
45,8,63,91,True
2,79,77,57,False
82,81,65,53,False
5,49,42,92,True
88,41,64,46,False
65,28,30,55,False
45,90,58,89,True
31,28,52,38,False
8,70,49,43,False
24,15,61,26,False
17,58,70,52,False
70,67,7,37,False
43,55,55,20,False
33,36,5,99,True
87,59,33,4,False
89,12,32,58,False
3,5,24,63,False
37,55,91,32,False
47,48,70,27,False
93,23,67,93,True
95,39,49,27,False
92,18,35,82,True
49,55,40,71,True
41,89,62,85,True
56,61,75,29,False
55,63,74,86,True
17,23,84,81,True
68,39,59,89,True
6,1,48,75,True
53,74,19,97,True
51,18,37,96,True
10,27,9,44,False
30,99,18,14,False
67,11,94,51,False
94,81,78,12,False
98,13,58,76,True
70,78,20,56,False
5,69,82,97,True
45,2,56,97,True
43,88,26,68,True
14,46,65,14,False
57,14,29,68,True
10,19,83,0,False
31,11,17,60,False
24,50,41,60,False
49,23,74,98,True
95,72,67,83,True
90,77,32,10,False
86,90,66,83,True
62,92,99,40,False
68,98,2,41,False
22,92,96,37,False
23,95,13,76,True
91,20,25,39,False
96,74,84,44,False
10,97,34,33,False
65,22,24,34,False
47,16,62,65,True
79,12,95,68,True
89,81,31,93,True
16,48,10,19,False
44,93,65,14,False
26,31,23,15,False
28,42,92,32,False
2,17,36,5,False
88,37,19,87,True
30,58,41,89,True
62,17,7,49,False
81,44,58,79,True
47,12,85,53,False
68,86,80,5,False
20,36,73,30,False
99,93,59,71,True
0,83,59,75,True
91,96,8,92,True
42,66,93,74,True
89,15,20,10,False
70,19,91,68,True
83,1,87,87,True
42,69,98,5,False
27,78,18,42,False
74,15,92,5,False
48,15,2,96,True
53,22,51,99,True
35,34,70,5,False
70,59,11,3,False
66,87,97,96,True
54,86,77,89,True
91,30,73,21,False
54,94,84,55,False
43,94,9,63,False
66,32,43,7,False
81,38,74,58,False
50,17,92,9,False
20,92,18,37,False
88,0,84,25,False
83,18,57,24,False
99,78,6,78,True
84,18,9,40,False
44,5,85,30,False
46,14,0,93,True
54,78,3,18,False
87,74,54,5,False
90,91,80,91,True
60,82,26,22,False
78,64,66,15,False
47,66,44,95,True
5,19,41,87,True
53,24,76,80,True
98,70,86,2,False
78,57,15,67,True
10,17,97,13,False
45,44,52,67,True
94,42,70,36,False
59,93,74,86,True
53,94,4,16,False
42,78,21,60,False
24,89,78,16,False
31,5,23,84,True
56,3,21,91,True
77,61,66,4,False
71,58,53,85,True
70,54,80,41,False
78,43,56,90,True
58,39,65,94,True
27,16,39,74,True
13,51,68,76,True
6,71,10,68,True
70,2,79,52,False
37,64,47,50,False
4,79,4,36,False
29,23,88,0,False
31,32,19,45,False
94,7,44,54,False
52,82,59,23,False
96,94,10,91,True
97,39,11,90,True
24,16,37,99,True
93,52,90,11,False
88,56,43,29,False
70,98,30,57,False
3,20,71,33,False
96,0,45,2,False
23,62,18,12,False
84,26,3,27,False
95,95,31,45,False
52,88,16,30,False
61,3,62,18,False
68,0,12,52,False
11,41,81,90,True
1,39,23,42,False
36,75,67,37,False
2,56,23,51,False
8,8,20,0,False
24,67,15,71,True
36,63,91,59,False
55,25,92,99,True
1,20,50,69,True
86,77,17,52,False
72,1,93,83,True
18,71,42,65,True
98,68,14,54,False
31,88,65,57,False
0,52,51,30,False
71,95,96,15,False
92,26,39,92,True
5,82,10,47,False
46,36,40,23,False
6,16,47,49,False
68,73,35,73,True
11,39,21,6,False
95,6,90,96,True
64,65,14,48,False
43,75,23,60,False
33,56,79,18,False
37,25,54,82,True
78,47,7,1,False
67,5,61,95,True
65,74,4,45,False
2,85,19,69,True
3,52,60,43,False
74,62,91,85,True
33,92,28,70,True
47,43,4,82,True
90,16,55,26,False
93,37,23,53,False
30,18,70,22,False
7,63,15,17,False
0,59,79,83,True
80,33,19,3,False
57,59,96,73,True
60,63,42,59,False
48,52,33,82,True
3,33,64,14,False
44,76,45,51,False
86,39,1,45,False
33,67,28,31,False
96,51,67,44,False
41,44,8,38,False
46,2,11,97,True
59,54,13,93,True
10,19,22,1,False
74,20,67,41,False
22,33,3,75,True
90,92,88,75,True
64,68,23,83,True
59,81,39,29,False
11,17,5,56,False
19,28,83,0,False
83,79,69,1,False
31,76,15,44,False
63,40,27,15,False
76,82,31,33,False
92,27,64,53,False
47,67,20,33,False
35,72,19,33,False
75,68,44,4,False
88,73,94,50,False
70,28,58,18,False
89,82,27,71,True
33,17,38,62,False
23,10,55,71,True
89,89,86,36,False
36,40,30,97,True
65,94,71,93,True
88,56,89,11,False
31,8,1,84,True
59,85,79,77,True
1,4,21,64,False
34,21,41,74,True
20,76,22,67,True
30,83,78,66,True
34,28,69,40,False
67,81,65,39,False
12,72,32,3,False
89,20,53,16,False
44,48,87,33,False
36,72,31,29,False
29,33,86,47,False
27,53,90,67,True
68,10,71,38,False
22,39,48,53,False
59,88,64,70,True
45,73,71,50,False
10,99,84,50,False
50,64,10,23,False
55,62,87,6,False
47,43,91,81,True
96,17,74,66,True
76,87,44,59,False
7,36,73,50,False
60,84,13,38,False
19,42,69,54,False
25,95,70,36,False
71,56,91,38,False
62,1,64,1,False
58,68,79,67,True
72,95,54,27,False
69,75,15,97,True
75,68,39,6,False
69,8,8,70,True
2,77,54,86,True
24,90,60,91,True
78,39,19,45,False
10,81,88,40,False
77,0,81,73,True
57,29,4,27,False
10,35,19,56,False
7,41,35,75,True
59,82,27,84,True
46,87,10,71,True
57,72,37,74,True
41,71,73,12,False
96,29,78,10,False
32,98,66,38,False
0,61,75,47,False
58,10,71,18,False
53,15,54,55,False
70,47,53,20,False
92,47,99,0,False
31,67,50,61,False
55,90,36,67,True
80,21,1,10,False
1,75,84,83,True
21,33,72,9,False
17,40,8,26,False
13,13,41,63,False
59,68,17,8,False
85,9,55,57,False
6,17,92,57,False
95,26,30,43,False
0,95,51,91,True
37,2,87,0,False
80,80,1,17,False
65,74,37,24,False
71,3,13,57,False
56,16,77,29,False
29,61,45,28,False
89,57,95,36,False
17,27,33,99,True
35,36,56,39,False
44,87,62,84,True
1,75,53,39,False
4,74,59,20,False
99,51,49,43,False
42,52,77,49,False
9,92,3,49,False
48,31,86,99,True
27,40,6,5,False
79,19,84,67,True
17,22,24,81,True
1,99,54,21,False
12,62,55,90,True
50,15,63,49,False
51,85,5,37,False
53,41,58,34,False
57,95,17,96,True
72,56,38,29,False
50,91,27,27,False
66,21,79,15,False
1,42,97,43,False
45,20,26,16,False
4,19,79,93,True
39,9,89,40,False
37,19,24,49,False
10,46,21,41,False
72,21,84,8,False
33,56,47,75,True
76,44,97,12,False
66,47,19,95,True
85,26,75,9,False
52,18,76,96,True
6,91,41,9,False
56,73,41,96,True
47,54,66,50,False
59,58,11,6,False
52,26,67,60,False
28,85,23,35,False
0,61,3,83,True
29,52,41,34,False
36,65,27,77,True
25,55,64,84,True
53,38,25,34,False
24,98,11,38,False
77,94,89,74,True
31,64,24,53,False
6,26,6,70,True
68,96,79,18,False
92,44,85,30,False
64,81,22,31,False
5,47,42,50,False
17,8,1,75,True
83,30,35,82,True
1,41,58,9,False
97,95,42,25,False
6,0,45,74,True
16,24,16,29,False
60,3,40,15,False
40,39,47,66,True
75,47,53,99,True
52,42,11,79,True
95,22,97,76,True
81,74,14,12,False
88,5,72,0,False
37,75,16,83,True
41,4,47,77,True
70,6,5,94,True
81,28,98,33,False
51,0,18,61,False
83,89,34,58,False
67,83,48,10,False
8,60,31,18,False
2,87,38,81,True
9,44,30,86,True
34,97,56,33,False
19,11,94,34,False
69,1,73,81,True
98,31,71,36,False
39,30,19,42,False
84,77,14,75,True
84,13,8,97,True
54,87,96,88,True
18,81,51,12,False
24,39,93,20,False
56,47,35,90,True
82,99,28,59,False
4,7,94,98,True
97,12,67,29,False
82,35,0,57,False
71,39,37,4,False
2,32,65,66,True
81,52,57,33,False
56,90,14,87,True
27,95,44,9,False
40,27,3,32,False
43,51,53,48,False
24,59,48,87,True
3,73,70,87,True
0,12,41,11,False
64,85,67,46,False
36,4,84,90,True
75,25,28,35,False
69,98,75,96,True
60,15,91,41,False
5,29,93,6,False
83,76,95,89,True
0,79,12,10,False
32,41,6,86,True
15,65,52,63,False
4,58,78,71,True
46,67,90,26,False
76,6,52,68,True
28,56,93,7,False
12,54,69,16,False
28,64,86,96,True
56,63,47,20,False
36,63,96,87,True
89,29,48,36,False
36,62,34,11,False
81,23,37,90,True
25,27,54,5,False
7,42,20,54,False
75,5,55,32,False
36,75,62,6,False
73,14,84,20,False
4,85,86,75,True
77,47,75,2,False
46,87,74,1,False
93,47,48,75,True
86,30,3,73,True
21,41,14,71,True
41,77,61,0,False
2,13,75,34,False
86,71,40,47,False
67,83,88,17,False
42,41,92,70,True
2,96,39,4,False
0,68,53,41,False
32,36,25,71,True
2,15,80,76,True
46,68,89,56,False
15,17,95,22,False
13,23,36,29,False
50,12,36,52,False
24,9,17,22,False
3,41,2,61,False
21,64,46,1,False
17,64,67,39,False
90,84,3,64,False
3,3,32,39,False
54,71,5,89,True
25,62,30,40,False
62,39,38,27,False
31,97,98,72,True
5,66,57,39,False
32,99,50,41,False
79,26,46,4,False
65,89,42,56,False
23,85,10,87,True
51,26,71,77,True
33,37,1,6,False
70,2,79,65,True
45,26,21,40,False
36,6,14,52,False
51,55,15,21,False
16,34,78,99,True
69,55,1,75,True
54,33,78,98,True
3,38,43,55,False
0,12,84,1,False
62,32,63,64,False
93,33,34,0,False
59,25,26,71,True
52,22,55,8,False
52,8,55,13,False
20,51,95,1,False
97,29,46,38,False
35,7,61,34,False
30,60,0,34,False
63,53,55,81,True
60,4,24,71,True
34,48,21,30,False
8,17,81,30,False
74,5,38,78,True
19,20,23,53,False
83,2,23,54,False
52,56,73,91,True
16,10,34,73,True
20,39,92,65,True
58,45,17,70,True
78,16,4,95,True
17,8,31,89,True
75,79,90,83,True
72,83,52,95,True
87,79,46,78,True
92,6,45,91,True
22,25,99,89,True
91,41,58,90,True
18,58,27,6,False
26,66,66,75,True
98,91,81,67,True
67,66,74,25,False
78,24,7,68,True
16,6,73,12,False
81,89,27,96,True
8,29,15,49,False
39,9,69,35,False
42,52,94,55,False
15,51,76,53,False
9,67,36,25,False
61,57,45,1,False
83,12,32,65,True
98,85,73,76,True
24,12,97,81,True
75,92,81,41,False
57,56,76,49,False
29,45,33,78,True
26,36,33,87,True
36,2,35,20,False
78,68,43,64,False
89,95,49,60,False
60,95,77,8,False
44,13,42,16,False
50,79,1,88,True
76,90,40,50,False
78,30,42,72,True
75,36,95,82,True
96,20,39,3,False
52,0,91,4,False
61,82,52,53,False
77,48,85,39,False
40,48,81,39,False
82,52,41,7,False
95,66,0,11,False
20,32,79,85,True
46,62,58,37,False
35,40,50,57,False
82,17,99,75,True
27,59,49,61,False
9,13,5,52,False
64,19,58,94,True
53,42,41,31,False
79,86,15,30,False
42,38,70,56,False
94,41,26,95,True
95,25,81,51,False
0,74,87,71,True
82,38,6,52,False
37,95,69,21,False
40,98,69,30,False
96,22,64,36,False
77,59,5,91,True
82,50,37,85,True
50,38,37,67,True
83,41,38,10,False
27,12,80,47,False
31,16,20,43,False
75,74,42,52,False
93,12,96,5,False
70,85,66,91,True
57,64,58,91,True
50,1,39,81,True
37,42,68,71,True
61,8,71,75,True
46,59,35,86,True
1,98,56,20,False
39,44,56,11,False
62,74,77,29,False
11,7,18,76,True
97,38,28,25,False
92,91,0,98,True
66,30,59,68,True
8,98,94,16,False
13,15,92,38,False
18,43,78,24,False
71,6,80,99,True
41,95,93,76,True
41,35,19,48,False
3,41,38,6,False
98,69,21,87,True
46,60,72,37,False
71,77,86,26,False
39,44,68,62,False
67,82,71,68,True
4,30,24,10,False
99,15,41,34,False
2,34,64,93,True
37,56,51,23,False
80,36,44,12,False
92,97,34,97,True
12,91,9,15,False
21,60,25,55,False
62,24,7,45,False
49,18,79,44,False
17,14,17,37,False
78,80,77,83,True
2,60,83,44,False
52,0,20,44,False
55,63,98,31,False
53,4,69,44,False
11,48,60,5,False
23,61,21,76,True
53,7,32,94,True
81,93,78,83,True
22,26,17,94,True
72,2,10,73,True
73,4,71,24,False
14,20,57,47,False
94,43,25,17,False
55,82,84,37,False
53,63,86,85,True
53,5,81,32,False
75,12,82,42,False
6,79,50,97,True
7,70,15,0,False
6,63,58,26,False
28,22,95,46,False
99,81,83,98,True
82,29,53,0,False
33,98,52,86,True
16,14,44,24,False
80,54,55,47,False
89,71,22,1,False
90,95,6,85,True
37,55,68,3,False
63,70,49,48,False
32,65,33,61,False
24,7,93,45,False
72,86,51,5,False
10,62,85,50,False
41,83,62,69,True
59,48,53,76,True
46,95,54,35,False
89,17,47,94,True
88,70,31,6,False
0,57,77,71,True
41,46,40,73,True
37,24,53,0,False
6,58,60,50,False
67,73,44,20,False
41,23,37,60,False
59,23,8,71,True
94,54,81,94,True
85,58,2,11,False
48,99,73,51,False
53,1,40,78,True
19,43,39,46,False
94,3,15,86,True
86,49,40,48,False
64,4,79,4,False
16,51,60,27,False
11,93,11,43,False
49,69,77,0,False
67,85,90,14,False
28,92,94,81,True
91,35,80,28,False
99,18,85,65,True
55,45,83,71,True
53,31,10,42,False
11,53,4,56,False
81,27,91,88,True
34,83,33,34,False
24,97,90,1,False
5,80,95,43,False
56,10,15,25,False
23,45,95,73,True
87,20,64,26,False
48,76,20,38,False
13,78,57,96,True
26,5,68,97,True
5,96,36,79,True
83,28,83,21,False
6,36,43,78,True
43,82,74,11,False
28,99,40,7,False
61,65,57,45,False
36,9,66,23,False
63,59,78,50,False
55,76,83,54,False
21,13,58,17,False
79,81,80,15,False
37,67,98,48,False
31,76,62,18,False
80,5,3,62,False
47,92,0,52,False
75,54,45,56,False
90,85,66,11,False
80,86,96,72,True
50,97,14,82,True
81,88,41,41,False
48,70,46,35,False
89,77,96,34,False
22,77,94,85,True
8,51,51,82,True
40,44,93,12,False
65,41,79,8,False
24,31,8,16,False
16,66,12,31,False
96,90,70,46,False
70,74,43,59,False
39,40,39,46,False
74,66,55,42,False
49,5,91,5,False
90,87,49,77,True
89,15,80,76,True
98,27,72,1,False
61,29,8,16,False
73,86,69,93,True
82,23,56,23,False
1,46,69,57,False
77,65,30,54,False
18,31,45,13,False
54,96,68,48,False
66,68,1,84,True
19,92,31,92,True
32,54,47,13,False
51,86,91,51,False
69,32,57,88,True
24,71,11,70,True
86,63,46,96,True
95,73,11,95,True
23,57,20,3,False
5,32,0,2,False
91,47,16,1,False
76,22,93,88,True
36,14,15,4,False
89,50,1,96,True
36,54,79,51,False
2,24,73,48,False
30,18,57,93,True
39,2,48,0,False
10,51,65,83,True
44,32,1,18,False
55,33,19,58,False
6,33,79,42,False
15,47,24,20,False
14,16,2,3,False
21,0,72,91,True
23,45,68,48,False
40,84,24,22,False
5,40,26,27,False
66,87,27,49,False
98,37,96,17,False
85,4,85,37,False
45,4,76,56,False
31,61,39,94,True
16,85,26,46,False
68,82,26,61,False
66,41,70,23,False
45,44,79,26,False
79,33,8,4,False
97,68,34,37,False
10,29,76,27,False
21,53,9,26,False
97,85,72,37,False
80,83,34,62,False
56,94,85,43,False
15,15,15,53,False
52,59,95,57,False
94,88,94,89,True
35,70,37,26,False
14,82,76,12,False
65,11,38,46,False
47,33,37,34,False
23,29,81,24,False
20,29,19,83,True
3,74,51,54,False
93,64,2,80,True
24,41,99,88,True
95,26,8,57,False
23,92,18,70,True
92,75,57,41,False
57,16,46,47,False
71,56,93,55,False
1,3,46,96,True
89,31,30,3,False
59,74,9,76,True
14,52,82,34,False
94,46,30,90,True
45,16,17,84,True
61,37,53,24,False
18,12,28,28,False
81,10,47,83,True
46,9,30,6,False
58,27,48,96,True
10,94,74,19,False
75,76,48,23,False
44,33,90,99,True
10,57,92,64,False
94,69,54,80,True
8,65,49,38,False
52,65,45,85,True
47,41,86,65,True
43,44,36,79,True
53,96,11,42,False
14,75,58,49,False
35,88,72,40,False
28,36,4,81,True
72,87,58,92,True
69,98,51,27,False
54,98,12,73,True
38,89,27,90,True
10,48,16,10,False
27,47,55,64,False
66,45,65,25,False
22,5,29,79,True
76,98,46,1,False
30,86,90,1,False
14,20,89,14,False
97,41,26,16,False
22,63,43,8,False
72,2,66,95,True
40,86,95,96,True
76,13,73,54,False
4,70,81,59,False
57,72,46,45,False
93,59,91,11,False
66,63,83,40,False
27,84,95,54,False
72,38,34,53,False
24,2,16,36,False
90,48,94,13,False
12,13,23,32,False
9,68,2,40,False
57,33,75,56,False
69,54,83,51,False
93,22,47,14,False
38,48,66,46,False
36,47,10,88,True
61,28,66,42,False
12,49,7,34,False
77,34,15,81,True
19,34,1,29,False
49,68,35,56,False
80,69,5,66,True
13,15,68,46,False
34,45,14,92,True
62,98,32,87,True
95,59,19,19,False
68,96,96,7,False
29,24,29,92,True
47,38,39,55,False
74,87,93,94,True
9,59,4,28,False
15,41,29,9,False
13,95,33,93,True
19,67,6,44,False
47,39,55,84,True
75,91,15,40,False
4,43,33,63,False
48,52,38,69,True
11,93,18,13,False
12,74,83,26,False
4,94,83,45,False
6,88,46,55,False
20,92,67,33,False
96,80,60,3,False
96,49,8,46,False
43,33,83,50,False
39,72,77,81,True
54,78,24,65,True
90,17,62,74,True
94,46,3,42,False
74,22,53,21,False
76,85,17,39,False
95,98,76,35,False
26,14,94,17,False
9,81,70,18,False
44,40,42,27,False
89,88,87,33,False
88,53,76,44,False
84,44,93,57,False
84,67,49,67,True
51,78,67,73,True
19,10,26,96,True
65,38,53,93,True
29,65,2,26,False
58,44,39,29,False
30,48,38,35,False
80,74,81,50,False
87,52,81,19,False
29,72,32,35,False
79,15,7,20,False
24,83,68,18,False
19,93,25,94,True
27,45,28,6,False
14,93,62,58,False
52,7,93,2,False
39,8,3,10,False
56,89,14,3,False
21,93,87,97,True
54,71,37,84,True
90,65,21,90,True
59,98,83,33,False
23,23,52,17,False
49,93,15,34,False
74,39,44,36,False
49,36,57,67,True
18,28,73,24,False
14,62,62,75,True
7,7,82,86,True
14,56,41,32,False
48,80,19,52,False
50,26,5,94,True
42,63,63,95,True
8,9,29,98,True
1,58,87,83,True
89,95,42,0,False
63,3,78,82,True
73,42,99,35,False
4,82,30,69,True
71,56,51,68,True
52,96,22,16,False
72,16,76,36,False
90,30,11,22,False
71,99,35,30,False
94,19,61,68,True
96,57,92,9,False
1,61,33,77,True
50,11,65,49,False
50,56,46,92,True
19,98,54,71,True
87,87,65,40,False
94,53,66,43,False
63,80,66,6,False
80,67,84,4,False
39,50,9,97,True
10,30,22,52,False
92,4,2,57,False
81,79,85,45,False
40,55,97,52,False
59,14,60,72,True
51,99,57,49,False
80,52,10,69,True
47,52,7,52,False
11,65,12,91,True
9,80,79,36,False
4,41,40,9,False
84,65,96,87,True
81,35,20,60,False
5,16,10,44,False
80,62,1,84,True
59,77,20,80,True
39,78,13,32,False
44,29,7,99,True
4,93,44,38,False
64,92,32,51,False
85,67,0,41,False
44,35,6,12,False
45,57,85,18,False
39,7,23,99,True
84,17,23,44,False
22,26,7,51,False
95,94,79,61,False
68,7,24,1,False
68,76,24,67,True
20,83,78,27,False
63,81,16,33,False
7,48,72,49,False
87,31,42,51,False
61,58,31,82,True
74,54,68,59,False
55,71,62,22,False
83,69,12,62,False
53,16,1,25,False
15,95,37,51,False
69,5,76,93,True
85,61,21,24,False
11,60,14,93,True
25,86,7,99,True
81,74,28,17,False
64,41,82,80,True
81,55,86,16,False
21,84,25,78,True
56,8,45,59,False
49,76,15,37,False
23,5,94,42,False
96,29,14,7,False
28,31,58,11,False
21,42,90,72,True
49,87,57,13,False
99,26,65,9,False
91,3,80,7,False
26,77,39,92,True
92,4,52,39,False
38,0,23,28,False
49,90,33,81,True
26,14,42,40,False
88,98,83,53,False
23,41,88,64,False
55,71,96,36,False
36,30,12,53,False
15,12,43,53,False
37,50,12,75,True
22,93,38,31,False
31,47,31,79,True
31,24,70,55,False
24,4,37,28,False
73,88,0,54,False
77,97,2,59,False
21,24,11,48,False
70,94,88,46,False
39,31,96,3,False
14,50,63,33,False
28,0,12,2,False
51,3,82,40,False
36,91,41,13,False
99,90,11,2,False
51,20,8,45,False
89,55,96,39,False
35,32,96,83,True
47,69,16,58,False
88,5,73,11,False
46,20,16,36,False
62,12,49,63,False
62,52,82,26,False
14,93,73,20,False
97,32,47,25,False
57,76,33,27,False
33,87,92,71,True
99,24,41,49,False
