A,B,C,D,R
63,45,57,24,True
29,13,83,60,False
60,89,2,75,False
47,64,78,17,True
27,8,57,11,True
76,41,55,50,False
8,75,50,91,False
98,47,95,75,False
13,79,92,72,False
94,25,75,75,False
54,92,79,0,True
65,79,99,47,False
47,25,49,48,False
46,92,64,62,False
66,87,97,23,True
6,17,22,5,True
64,7,19,87,False
67,76,69,31,True
0,40,1,59,False
39,14,90,59,False
50,53,96,8,True
20,64,98,17,True
87,13,73,8,True
95,45,21,2,True
2,8,65,2,True
48,77,34,6,True
34,38,33,60,False
1,33,80,43,False
64,95,42,53,False
62,43,40,5,True
56,88,87,10,True
17,48,5,45,False
9,41,50,16,True
97,57,63,72,False
3,50,84,46,False
14,61,96,33,True
83,48,56,10,True
24,39,93,87,False
82,72,2,0,True
42,41,88,18,True
5,45,44,92,False
53,19,83,88,False
97,11,93,0,True
91,9,49,32,True
31,11,76,46,False
71,98,63,42,True
88,5,8,99,False
56,47,37,71,False
14,55,45,22,True
81,36,68,51,False
39,13,74,47,False
29,13,81,86,False
52,97,86,52,False
97,60,70,41,True
56,19,59,48,False
8,6,67,1,True
47,75,65,3,True
11,12,11,40,True
97,88,26,65,False
33,25,36,55,False
13,97,74,47,False
91,67,65,68,False
21,41,72,26,True
37,9,17,76,False
87,26,35,25,True
43,77,2,99,False
4,79,10,50,False
23,55,66,54,False
83,49,27,10,True
89,74,77,21,True
38,43,73,16,True
86,44,79,75,False
99,25,87,15,True
91,21,96,67,False
57,32,84,73,False
72,66,18,9,True
67,46,7,67,False
92,92,1,91,False
70,71,47,35,True
1,59,0,48,False
39,74,38,48,False
68,51,14,68,False
31,48,66,16,True
52,57,51,56,False
48,67,11,51,False
96,1,30,21,True
9,15,66,49,False
24,80,47,25,True
63,22,97,7,True
71,34,26,99,False
82,14,39,19,True
13,14,43,62,False
22,17,48,90,False
84,35,10,84,False
83,95,87,83,False
26,1,45,12,True
26,23,3,20,True
70,69,69,92,False
83,20,25,93,False
8,38,17,75,False
15,69,2,38,True
7,30,6,12,True
27,84,56,47,False
40,82,78,32,True
84,68,82,91,False
95,50,44,90,False
44,99,63,82,False
59,3,59,58,False
2,12,99,45,False
65,0,73,27,True
56,66,4,99,False
75,93,34,49,False
36,59,65,19,True
12,39,97,1,True
17,7,3,6,True
39,36,96,98,False
34,89,18,16,True
51,13,80,46,False
16,53,59,1,True
97,98,94,46,False
30,81,50,64,False
31,49,87,6,True
96,11,23,46,False
49,92,0,72,False
0,61,99,52,False
57,61,82,68,False
25,29,49,7,True
72,13,85,25,True
76,31,97,14,True
82,78,66,82,False
95,61,2,64,False
25,15,94,18,True
49,56,93,62,False
78,83,42,98,False
9,20,12,76,False
26,83,18,28,True
64,19,69,0,True
41,8,51,17,True
42,99,49,94,False
51,50,78,74,False
42,5,50,39,True
18,20,59,23,True
36,70,58,48,False
53,31,18,43,False
24,48,84,47,False
27,68,10,31,True
82,56,15,82,False
6,43,95,38,True
60,25,0,78,False
49,70,33,11,True
6,99,6,0,True
40,32,57,34,True
37,44,29,69,False
66,28,46,23,True
27,30,92,18,True
9,99,92,79,False
75,73,56,1,True
47,79,65,51,False
32,4,90,11,True
63,82,18,83,False
17,20,81,47,False
49,95,34,74,False
63,86,29,53,False
4,62,97,4,True
35,26,32,8,True
53,4,9,46,False
83,91,76,58,False
91,34,38,60,False
13,51,15,87,False
76,57,43,39,True
24,38,73,69,False
68,95,15,10,True
90,95,21,38,True
86,70,64,48,False
53,36,6,34,True
21,54,23,54,False
56,76,53,3,True
72,11,48,19,True
25,28,7,31,True
79,91,61,63,False
23,67,31,77,False
12,20,94,3,True
52,69,30,76,False
82,81,10,97,False
1,46,76,11,True
99,64,70,36,True
48,8,25,10,True
60,73,77,29,True
40,74,11,71,False
21,58,49,7,True
20,48,64,53,False
59,72,6,9,True
22,63,83,93,False
96,40,86,49,False
1,95,32,75,False
47,20,60,24,True
39,64,58,22,True
42,82,13,54,False
62,64,88,87,False
15,14,1,99,False
81,81,82,23,True
24,72,14,60,False
11,95,93,42,True
17,26,41,37,True
77,42,45,54,False
75,92,73,73,False
96,25,28,95,False
42,41,84,84,False
76,41,97,9,True
62,56,19,24,True
55,56,15,12,True
93,58,58,1,True
32,51,45,45,False
58,35,64,74,False
17,48,62,47,False
39,75,64,28,True
95,78,64,11,True
99,18,4,5,True
29,89,15,16,True
42,40,94,19,True
2,38,70,3,True
55,99,25,44,False
37,2,0,64,False
89,91,76,23,True
90,68,71,2,True
57,82,24,50,False
26,67,94,29,True
76,54,43,45,False
37,74,75,81,False
38,62,41,89,False
38,17,64,73,False
44,87,44,32,True
1,90,38,51,False
78,6,22,52,False
63,41,63,85,False
82,62,13,15,True
46,77,20,59,False
63,78,62,29,True
94,44,78,39,True
96,75,6,49,False
30,55,69,23,True
35,55,18,73,False
66,84,61,73,False
69,16,23,22,True
35,64,14,27,True
13,52,63,38,True
12,99,50,61,False
40,56,0,66,False
82,53,19,7,True
58,59,63,91,False
32,35,96,67,False
8,41,40,62,False
44,58,65,2,True
4,26,42,76,False
51,98,73,82,False
95,20,48,94,False
65,24,88,96,False
14,99,30,58,False
66,5,93,26,True
36,35,92,11,True
67,28,33,38,True
87,82,88,54,False
85,24,8,80,False
2,44,9,50,False
4,63,11,27,True
45,44,18,32,True
11,67,95,71,False
12,97,28,92,False
70,23,83,95,False
29,17,90,73,False
20,44,93,43,False
41,21,97,77,False
67,99,98,67,False
61,11,47,50,False
92,40,66,76,False
35,67,91,4,True
94,70,32,89,False
82,26,99,43,False
52,86,94,94,False
22,48,48,52,False
33,23,40,7,True
98,2,13,14,True
97,98,72,79,False
14,95,58,74,False
21,19,6,6,True
82,13,11,35,True
50,56,3,88,False
83,12,10,8,True
79,91,33,9,True
96,13,70,10,True
77,91,63,36,True
7,8,17,58,False
96,97,37,15,True
4,22,45,37,True
89,62,32,64,False
39,83,8,43,False
74,41,68,4,True
50,92,91,92,False
82,62,99,34,True
36,52,88,48,False
18,66,86,37,True
77,51,39,75,False
50,29,81,14,True
86,22,51,31,True
9,99,95,66,False
74,65,38,8,True
86,75,59,43,False
7,41,98,7,True
11,79,76,77,False
73,13,78,57,False
24,18,33,4,True
19,55,2,89,False
89,39,43,12,True
46,36,33,78,False
76,22,65,92,False
17,54,78,11,True
99,73,62,87,False
57,13,49,86,False
49,21,42,80,False
41,39,43,40,True
77,13,44,83,False
61,46,35,44,False
59,59,66,1,True
89,77,15,18,True
42,24,4,92,False
11,35,56,7,True
73,18,26,29,True
74,49,98,78,False
61,27,63,31,True
85,3,1,70,False
71,56,12,0,True
15,55,19,56,False
68,20,49,57,False
98,84,45,86,False
62,54,25,34,True
87,36,76,74,False
78,21,61,26,True
86,7,86,89,False
77,40,87,9,True
89,93,78,50,False
92,22,30,37,True
46,9,7,71,False
10,5,11,6,True
28,19,75,36,True
24,30,12,27,True
79,20,21,96,False
0,8,59,86,False
45,85,96,19,True
77,14,18,45,False
8,81,67,55,False
2,32,87,90,False
58,49,55,7,True
11,10,37,20,True
65,37,89,56,False
43,28,3,88,False
9,3,70,61,False
70,56,5,81,False
26,33,35,39,True
10,63,36,73,False
82,0,23,21,True
16,55,68,22,True
39,55,92,96,False
83,82,56,94,False
46,99,91,72,False
43,90,30,91,False
17,11,20,22,True
97,98,4,88,False
0,70,24,12,True
34,79,7,93,False
7,46,63,86,False
23,16,80,70,False
18,67,90,70,False
72,45,11,23,True
28,98,3,69,False
8,17,86,27,True
47,99,16,22,True
17,97,5,8,True
66,22,39,86,False
85,4,16,92,False
28,39,18,85,False
88,80,47,50,False
5,62,2,35,True
43,44,9,88,False
67,52,63,30,True
95,37,91,63,False
63,47,62,70,False
62,87,15,10,True
16,28,80,51,False
10,19,0,27,True
60,8,26,6,True
80,30,78,43,False
40,86,88,54,False
10,42,64,65,False
74,0,35,70,False
42,43,8,20,True
71,54,23,69,False
11,65,19,43,False
48,8,69,74,False
93,12,49,28,True
70,11,49,61,False
8,60,49,10,True
82,9,44,59,False
36,62,86,52,False
95,88,11,24,True
27,42,22,33,True
47,30,5,72,False
28,6,45,13,True
19,84,39,69,False
59,10,10,59,False
73,29,92,88,False
95,78,81,10,True
69,17,12,20,True
18,40,47,39,True
46,44,91,85,False
4,10,35,14,True
97,94,97,81,False
41,90,94,60,False
22,86,44,33,True
68,43,33,70,False
49,98,45,45,False
68,62,94,68,False
36,69,47,23,True
66,43,78,72,False
11,44,84,89,False
49,2,53,31,True
6,51,47,76,False
62,40,84,23,True
1,37,17,75,False
28,54,64,50,False
33,51,44,74,False
39,76,31,67,False
78,51,9,3,True
76,90,3,72,False
0,89,51,43,False
10,98,58,3,True
67,61,19,74,False
66,50,45,62,False
46,96,86,16,True
60,85,52,76,False
78,60,45,94,False
89,60,83,42,True
47,9,6,13,True
92,87,12,67,False
77,27,28,13,True
46,14,22,63,False
85,21,43,35,True
5,69,0,85,False
14,44,99,32,True
53,25,26,69,False
0,40,93,21,True
50,7,66,85,False
99,12,10,34,True
2,26,60,43,False
94,12,49,95,False
16,29,54,96,False
19,49,67,3,True
36,89,59,92,False
51,56,57,41,True
9,25,2,13,True
62,58,83,28,True
13,40,86,5,True
10,22,65,68,False
96,87,11,36,True
15,32,29,6,True
7,63,86,94,False
47,37,95,66,False
81,19,18,85,False
2,71,90,9,True
67,96,67,17,True
74,81,26,76,False
90,96,0,85,False
41,50,33,18,True
18,43,73,4,True
15,95,4,91,False
54,73,25,32,True
99,58,63,12,True
21,95,98,36,True
45,9,4,76,False
21,60,7,75,False
80,50,54,35,True
67,91,40,78,False
59,1,12,7,True
11,89,90,95,False
41,3,1,4,True
39,49,87,17,True
52,86,20,14,True
70,25,8,67,False
87,69,57,42,True
29,13,68,30,True
8,87,98,50,False
89,46,72,46,False
37,78,25,90,False
62,60,0,59,False
36,87,93,82,False
27,31,92,56,False
73,50,10,75,False
62,16,25,62,False
74,5,23,59,False
94,92,73,57,False
96,23,44,1,True
88,77,51,11,True
99,36,7,31,True
64,53,90,55,False
89,56,99,63,False
81,64,64,21,True
88,78,82,93,False
84,66,81,88,False
81,7,55,42,True
93,68,1,37,True
76,84,29,58,False
69,31,29,62,False
30,85,13,76,False
79,0,69,24,True
70,17,52,75,False
54,52,14,67,False
76,99,31,20,True
64,78,24,54,False
64,42,13,19,True
78,13,39,45,False
26,12,98,64,False
20,22,62,82,False
95,7,23,25,True
56,30,55,33,True
0,2,95,15,True
46,24,33,84,False
39,40,41,45,False
7,35,46,56,False
84,24,32,65,False
2,5,57,86,False
16,2,27,52,False
61,81,21,99,False
6,56,89,42,True
67,92,25,79,False
27,22,42,60,False
90,13,31,85,False
87,61,64,41,True
32,6,43,92,False
32,85,31,25,True
35,72,16,81,False
34,59,19,47,False
53,85,96,77,False
24,69,91,74,False
30,6,81,91,False
66,11,24,77,False
62,7,60,52,False
77,30,29,1,True
57,53,64,44,False
62,76,57,12,True
34,67,21,11,True
6,27,5,88,False
32,20,35,8,True
93,99,70,44,False
73,95,60,57,False
1,54,14,24,True
94,18,30,40,True
81,56,10,70,False
72,35,60,98,False
71,80,32,14,True
31,30,48,9,True
6,83,58,28,True
4,4,99,43,False
10,62,85,54,False
20,56,2,38,True
79,45,56,26,True
73,82,45,73,False
93,51,90,53,False
82,48,69,70,False
13,4,57,3,True
10,48,59,93,False
17,83,94,43,False
41,94,8,29,True
85,24,70,26,True
26,26,78,9,True
98,74,98,34,True
61,89,77,81,False
11,23,67,54,False
76,8,40,54,False
43,9,98,34,True
4,87,48,28,True
1,60,28,25,True
80,96,91,9,True
39,90,36,26,True
23,38,18,20,True
6,42,84,60,False
10,58,54,38,True
26,32,95,80,False
71,9,73,87,False
32,10,25,87,False
29,3,20,73,False
14,52,88,96,False
27,76,92,30,True
89,46,61,3,True
34,13,76,5,True
90,95,75,33,True
80,9,99,5,True
5,3,83,48,False
12,30,72,5,True
0,24,40,65,False
75,41,87,15,True
36,95,64,20,True
51,80,89,22,True
42,64,34,44,False
38,29,84,54,False
31,69,86,68,False
60,21,94,70,False
70,41,77,45,False
52,9,51,13,True
80,20,83,35,True
58,54,10,24,True
62,72,19,54,False
47,25,40,97,False
23,78,33,23,True
71,71,9,94,False
36,79,57,5,True
5,71,45,18,True
71,66,61,96,False
38,86,82,32,True
39,18,82,78,False
74,51,38,25,True
23,0,27,22,True
59,93,29,25,True
85,59,43,20,True
13,9,29,51,False
45,3,18,96,False
11,40,99,35,True
92,24,31,95,False
25,23,51,99,False
11,21,28,92,False
60,75,32,31,True
73,36,51,97,False
30,83,62,37,True
55,19,70,85,False
26,30,20,57,False
52,68,91,26,True
97,45,18,30,True
8,11,26,0,True
41,98,93,59,False
75,11,92,59,False
68,8,31,41,True
23,1,54,68,False
91,24,68,70,False
64,35,32,17,True
42,23,40,90,False
28,37,74,49,False
20,79,56,22,True
51,71,18,22,True
43,68,83,55,False
93,91,61,51,False
50,32,62,23,True
65,47,8,91,False
63,85,28,16,True
98,88,63,52,False
48,50,85,49,False
99,33,77,82,False
36,76,57,16,True
59,80,78,10,True
2,85,57,45,False
10,69,57,97,False
45,31,4,20,True
98,65,49,72,False
77,54,19,91,False
89,8,2,12,True
82,15,88,59,False
82,72,42,5,True
13,24,23,44,False
87,11,10,47,False
4,54,64,19,True
29,76,63,97,False
40,48,71,10,True
36,47,4,33,True
23,66,0,15,True
67,28,40,43,False
35,60,21,29,True
30,5,32,84,False
66,42,84,82,False
41,58,41,14,True
5,76,84,33,True
71,63,31,43,False
94,16,25,30,True
53,62,96,53,False
70,94,63,96,False
58,28,86,63,False
86,14,96,70,False
86,13,73,99,False
9,76,12,2,True
58,4,26,27,True
98,95,52,9,True
75,18,14,35,True
80,95,83,37,True
27,40,11,76,False
89,53,36,45,False
72,5,88,10,True
50,57,71,52,False
80,74,85,78,False
42,86,80,38,True
63,23,28,59,False
71,0,30,41,True
98,37,79,71,False
75,64,82,52,False
28,11,53,93,False
7,55,35,72,False
7,62,43,86,False
91,96,40,96,False
12,46,54,96,False
47,86,43,49,False
88,52,37,45,False
20,49,8,72,False
7,49,25,94,False
14,84,94,25,True
68,21,32,74,False
8,1,62,20,True
5,22,27,40,True
87,55,2,2,True
62,54,31,16,True
55,36,66,13,True
6,81,97,71,False
4,32,23,45,False
34,78,10,8,True
26,80,71,16,True
55,24,44,80,False
98,45,28,81,False
78,40,12,1,True
41,96,67,69,False
10,8,42,8,True
26,84,48,98,False
69,49,4,91,False
72,23,22,75,False
39,3,12,99,False
29,8,91,92,False
54,48,4,27,True
10,28,82,96,False
63,86,45,66,False
68,2,49,43,False
41,13,83,50,False
49,2,51,53,False
38,25,29,62,False
33,88,76,87,False
34,14,25,41,True
88,20,41,80,False
35,61,46,34,True
92,21,63,8,True
54,8,91,72,False
52,63,50,14,True
71,55,99,4,True
70,18,89,4,True
11,60,59,87,False
97,79,85,49,False
20,54,78,22,True
28,22,67,30,True
57,31,42,56,False
23,4,79,97,False
18,83,70,13,True
71,99,20,78,False
52,78,94,87,False
77,50,78,20,True
28,11,14,99,False
80,60,5,52,False
6,26,74,36,True
10,1,37,1,True
99,82,41,95,False
2,32,46,48,False
11,22,23,69,False
49,68,74,73,False
33,74,45,44,False
20,91,29,96,False
99,49,12,23,True
94,95,98,30,True
60,83,57,6,True
15,46,6,32,True
61,22,70,40,True
37,57,1,69,False
81,26,79,68,False
93,79,10,12,True
63,21,56,47,False
20,59,58,53,False
11,85,96,23,True
18,24,91,13,True
55,43,55,27,True
43,13,22,93,False
99,47,87,84,False
59,25,0,87,False
80,90,52,42,True
27,42,78,53,False
43,86,83,56,False
22,27,60,34,True
22,80,71,23,True
15,34,67,9,True
80,6,71,88,False
50,32,48,26,True
47,83,21,16,True
61,73,17,1,True
56,40,3,44,False
65,48,22,88,False
86,67,84,48,False
23,83,18,14,True
7,57,38,50,False
29,85,55,6,True
1,12,50,70,False
85,89,27,54,False
81,82,52,89,False
73,69,57,8,True
87,70,92,37,True
2,9,99,20,True
81,76,80,17,True
7,16,68,39,True
0,64,96,48,False
16,32,28,97,False
60,29,56,44,False
95,82,23,59,False
58,48,55,92,False
78,15,17,94,False
92,77,2,63,False
87,39,99,62,False
37,36,27,95,False
20,51,55,86,False
46,96,55,36,True
96,45,66,32,True
21,69,75,33,True
65,18,27,88,False
64,83,34,50,False
65,77,13,54,False
28,56,96,89,False
55,68,30,45,False
15,77,14,73,False
54,4,64,4,True
37,9,87,74,False
58,83,63,37,True
81,12,59,19,True
27,3,37,37,True
99,97,57,26,True
73,6,82,57,False
47,17,14,75,False
21,71,44,43,False
37,34,71,11,True
57,56,40,44,False
67,76,46,62,False
25,17,3,91,False
54,18,50,73,False
3,44,78,8,True
86,4,22,95,False
81,17,40,85,False
1,91,82,24,True
45,57,54,74,False
6,79,49,37,True
74,39,83,34,True
22,30,17,1,True
17,14,21,11,True
77,65,54,19,True
12,82,91,1,True
18,49,79,37,True
50,3,10,80,False
47,13,75,51,False
29,43,15,71,False
14,73,62,53,False
20,9,74,93,False
33,11,38,13,True
75,71,49,56,False
33,66,74,28,True
85,18,17,45,False
78,9,37,9,True
74,24,75,69,False
39,73,13,12,True
47,57,33,40,True
8,59,53,54,False
65,74,69,17,True
79,78,52,66,False
7,67,3,55,False
40,95,75,63,False
24,32,12,13,True
1,41,56,42,True
75,69,9,74,False
58,64,77,66,False
91,22,6,34,True
36,4,8,50,False
39,60,36,1,True
93,69,69,41,True
52,86,46,50,False
88,93,57,87,False
56,51,90,93,False
20,39,74,68,False
6,43,7,16,True
5,96,5,7,True
68,92,67,20,True
38,46,70,68,False
4,61,61,10,True
69,34,20,66,False
33,78,61,99,False
41,86,33,61,False
31,2,35,30,True
76,15,42,2,True
23,60,23,10,True
36,69,50,77,False
56,17,0,12,True
93,10,61,81,False
84,76,97,80,False
67,57,24,50,False
72,29,59,12,True
55,92,65,39,True
86,22,87,64,False
41,19,21,48,False
32,71,23,69,False
83,77,17,6,True
41,36,62,8,True
87,58,74,80,False
48,47,13,45,False
11,38,32,19,True
91,61,36,80,False
94,43,75,21,True
54,72,29,58,False
11,20,91,9,True
78,11,60,3,True
26,18,41,56,False
68,58,43,79,False
67,95,96,81,False
41,67,62,28,True
83,8,5,1,True
80,34,31,97,False
60,95,19,97,False
0,81,96,85,False
61,10,50,66,False
85,52,95,26,True
45,69,35,25,True
51,92,87,46,False
78,55,98,44,False
74,27,44,37,True
73,13,74,30,True
77,94,8,3,True
54,48,47,81,False
22,20,83,70,False
44,70,32,94,False
30,91,51,59,False
51,20,92,84,False
33,56,80,99,False
80,43,24,84,False
10,19,10,4,True
64,6,71,31,True
7,39,43,76,False
25,78,68,43,False
46,79,24,9,True
62,1,67,60,False
54,7,6,42,True
67,56,52,66,False
90,82,59,66,False
91,31,20,80,False
91,8,13,87,False
61,93,31,31,True
10,89,30,18,True
35,42,79,2,True
97,71,77,76,False
33,4,72,44,False
95,71,44,67,False
5,80,14,35,True
77,52,45,14,True
56,28,25,99,False
48,28,70,31,True
84,9,11,48,False
11,15,8,26,True
27,6,28,57,False
56,56,59,26,True
9,0,56,84,False
99,49,96,26,True
91,55,62,33,True
88,91,31,2,True
73,79,77,85,False
23,69,50,10,True
38,40,2,0,True
70,61,90,15,True
99,24,92,69,False
47,41,7,33,True
31,15,9,93,False
26,59,83,70,False
30,28,76,78,False
97,96,98,86,False
81,65,48,37,True
92,24,90,86,False
31,10,42,93,False
14,89,54,38,True
73,31,93,24,True
39,21,48,30,True
45,44,91,90,False
56,99,27,5,True
39,24,84,55,False
96,64,81,74,False
19,43,14,46,False
69,75,53,8,True
59,12,13,3,True
56,93,12,16,True
38,83,94,13,True
21,96,94,70,False
39,36,13,41,True
51,95,60,21,True
70,70,73,49,False
60,86,47,12,True
47,60,54,99,False
9,28,87,36,True
36,88,21,48,False
99,52,10,18,True
87,88,29,43,False
61,89,32,26,True
15,64,69,83,False
89,65,97,14,True
23,70,32,59,False
11,1,58,39,True
53,83,91,51,False
16,49,55,6,True
73,98,60,97,False
31,17,81,53,False
84,97,49,9,True
50,44,70,36,True
3,95,69,83,False
48,36,3,8,True
80,17,83,63,False
31,36,45,2,True
80,12,13,92,False
31,53,68,10,True
22,85,39,65,False
74,10,7,60,False
38,22,75,95,False
80,62,85,47,False
39,32,65,56,False
28,56,60,98,False
43,88,36,28,True
64,20,89,34,True
97,88,8,68,False
85,17,28,87,False
63,47,17,88,False
99,89,93,42,True
17,70,29,61,False
63,55,68,68,False
58,12,64,20,True
68,53,34,16,True
92,29,72,34,True
11,94,29,31,True
39,11,50,42,True
79,68,70,41,True
89,27,86,42,True
42,73,22,54,False
62,19,24,45,False
27,71,64,17,True
88,80,32,43,False
19,21,43,21,True
95,26,3,41,True
89,49,83,92,False
71,43,39,40,True
61,39,94,28,True
58,28,4,28,True
53,70,98,14,True
65,20,9,13,True
7,18,42,21,True
85,4,39,33,True
9,21,73,15,True
93,84,11,23,True
40,26,10,1,True
99,39,58,31,True
82,25,22,89,False
26,10,86,16,True
24,81,3,90,False
23,15,76,11,True
50,72,84,12,True
92,91,2,24,True
22,9,96,77,False
72,90,32,40,True
3,16,13,54,False
34,11,64,92,False
54,17,74,5,True
87,85,99,68,False
47,80,23,18,True
16,47,71,31,True
93,83,44,11,True
0,47,8,68,False
12,30,40,70,False
5,54,67,35,True
51,30,70,18,True
81,89,27,69,False
49,9,35,91,False
13,23,97,10,True
0,18,32,96,False
42,13,71,3,True
6,79,29,40,True
4,15,78,79,False
32,23,34,47,False
27,54,49,41,True
89,94,40,56,False
7,34,24,84,False
7,39,62,39,True
24,7,19,71,False
75,45,8,76,False
73,87,39,61,False
39,65,43,63,False
7,27,98,43,False
38,59,25,71,False
43,70,27,91,False
70,71,46,34,True
5,77,22,61,False
10,96,38,50,False
95,86,9,73,False
65,95,95,22,True
57,9,98,47,False
75,98,38,34,True
79,78,16,10,True
69,63,16,75,False
50,13,55,20,True
34,11,32,23,True
83,42,15,84,False
95,32,10,37,True
96,47,84,28,True
83,9,38,78,False
98,37,77,33,True
0,3,71,64,False
87,72,42,27,True
78,11,46,55,False
62,9,84,17,True
92,80,85,59,False
17,84,82,72,False
23,92,37,92,False
23,71,14,82,False
99,0,88,20,True
50,19,38,34,True
37,88,11,27,True
97,73,1,59,False
65,64,39,20,True
